lsoa code (2011),lsoa code (2021),IMD rank,IMD dec,income,employment,EST,health and disability,crime,barriers to housing and services,living environment
E01000001,E01000001,"29,199",9,10,10,10,10,10,3,3
E01000002,E01000002,"30,379",10,10,10,10,10,10,4,4
E01000003,E01000003,"14,915",5,6,5,9,6,9,1,2
E01000005,E01000005,"8,678",3,2,3,4,6,10,1,3
E01000006,E01000006,"14,486",5,5,7,6,7,6,1,4
E01000007,E01000007,"7,256",3,2,4,7,5,2,1,4
E01000008,E01000008,"5,010",2,2,2,4,4,4,1,3
E01000009,E01000009,"6,736",3,3,4,6,3,2,1,3
E01000010,E01034474,"6,900",3,3,6,7,5,1,1,1
E01000011,E01000011,"7,698",3,3,5,4,6,3,1,2
E01000012,E01000012,"5,990",2,2,5,5,6,3,1,2
E01000013,E01000013,"4,573",2,2,3,4,3,1,1,3
E01000014,E01000014,"5,650",2,3,3,3,4,2,1,4
E01000015,E01000015,"6,405",2,2,3,4,5,4,1,4
E01000016,E01000016,"6,739",3,3,3,3,4,3,1,4
E01000017,E01000017,"4,570",2,2,2,4,3,4,1,4
E01000018,E01000018,"6,504",2,2,3,4,4,3,1,4
E01000019,E01000019,"6,410",2,3,3,4,3,3,1,4
E01000020,E01000020,"5,520",2,2,3,4,2,3,1,3
E01000021,E01000021,"4,611",2,2,3,3,4,3,1,1
E01000022,E01000022,"6,098",2,3,3,3,4,3,1,3
E01000023,E01034471,"5,243",2,2,4,4,5,1,1,2
E01000024,E01000024,"8,333",3,4,4,3,4,4,1,3
E01000025,E01000025,"5,303",2,2,3,4,4,2,1,4
E01000027,E01000027,"5,097",2,2,3,2,5,1,1,5
E01000028,E01000028,"4,240",2,2,2,3,1,6,1,6
E01000029,E01000029,"12,389",4,5,6,5,7,4,1,5
E01000030,E01000030,"4,760",2,2,2,2,5,3,1,5
E01000031,E01000031,"12,267",4,4,6,6,5,2,2,4
E01000032,E01000032,"8,037",3,4,4,4,5,2,1,2
E01000033,E01000033,"4,879",2,2,3,3,4,5,1,5
E01000034,E01000034,"5,575",2,2,3,3,3,4,1,6
E01000035,E01000035,"10,070",4,4,5,4,4,4,1,4
E01000036,E01000036,"15,028",5,5,6,6,6,4,2,4
E01000037,E01000037,"16,128",5,6,4,5,8,6,3,5
E01000038,E01000038,"14,671",5,4,6,5,6,5,3,4
E01000039,E01000039,"12,542",4,4,6,5,5,5,1,6
E01000040,E01000040,"6,028",2,2,3,3,5,3,1,3
E01000041,E01000041,"6,601",3,3,4,3,4,4,1,3
E01000042,E01000042,"3,842",2,2,2,3,3,4,1,4
E01000043,E01000043,"8,992",3,4,5,3,5,3,1,3
E01000044,E01000044,"8,825",3,4,6,4,7,1,1,1
E01000045,E01000045,"5,639",2,3,3,4,4,1,1,2
E01000046,E01000046,"8,138",3,3,4,3,4,6,1,3
E01000048,E01034479,"3,117",1,1,2,4,3,4,1,5
E01000049,E01000049,"3,928",2,1,3,3,4,4,1,4
E01000050,E01000050,"5,994",2,3,4,4,3,2,1,2
E01000051,E01000051,"5,228",2,2,3,3,4,2,1,4
E01000052,E01000052,"6,549",2,3,4,3,6,4,1,2
E01000053,E01000053,"4,249",2,2,3,3,3,1,1,4
E01000054,E01000054,"8,124",3,3,5,4,4,3,1,3
E01000055,E01000055,"7,604",3,2,4,3,5,5,1,3
E01000056,E01000056,"5,571",2,3,3,4,3,3,1,4
E01000057,E01000057,"6,712",3,3,4,3,5,3,1,3
E01000058,E01000058,"7,176",3,3,4,4,5,4,1,4
E01000059,E01000059,"6,950",3,3,3,3,5,4,1,3
E01000060,E01000060,"5,475",2,2,3,4,4,1,1,4
E01000061,E01000061,"2,802",1,1,2,2,2,5,1,6
E01000062,E01000062,"9,781",3,4,5,3,6,3,1,5
E01000063,E01000063,"6,520",2,3,3,2,4,4,1,2
E01000064,E01000064,"5,791",2,2,3,4,4,5,1,3
E01000065,E01000065,"4,296",2,2,2,4,2,4,1,3
E01000066,E01000066,"10,329",4,4,4,5,5,7,1,6
E01000067,E01000067,"13,573",5,4,7,6,7,4,1,5
E01000068,E01000068,"10,421",4,5,6,5,5,2,1,3
E01000069,E01000069,"17,580",6,6,6,5,8,5,2,3
E01000070,E01000070,"13,531",5,5,6,6,7,2,2,4
E01000071,E01000071,"15,370",5,4,7,6,7,6,1,5
E01000072,E01000072,"3,974",2,2,3,3,3,1,1,3
E01000073,E01000073,"4,645",2,2,3,3,3,1,1,4
E01000074,E01000074,"5,870",2,2,3,3,3,6,1,5
E01000075,E01000075,"5,215",2,3,4,2,5,1,1,2
E01000076,E01000076,"5,451",2,2,3,2,5,4,1,4
E01000077,E01000077,"3,967",2,2,2,3,3,3,1,2
E01000078,E01000078,"5,874",2,2,3,3,5,3,1,3
E01000079,E01000079,"6,057",2,2,3,4,5,4,1,3
E01000080,E01000080,"6,596",3,3,3,4,3,5,1,4
E01000081,E01000081,"7,738",3,3,4,3,4,5,1,3
E01000082,E01000082,"9,100",3,3,4,3,6,7,1,3
E01000083,E01000083,"6,111",2,3,3,3,4,4,1,2
E01000084,E01000084,"4,315",2,2,3,2,4,1,1,3
E01000085,E01000085,"5,838",2,3,3,2,6,1,1,3
E01000086,E01000086,"4,822",2,2,3,3,2,2,1,4
E01000087,E01000087,"6,122",2,2,3,3,5,5,1,3
E01000088,E01000088,"8,574",3,4,4,5,4,3,1,2
E01000089,E01000089,"8,508",3,4,5,4,6,5,1,2
E01000090,E01000090,"8,873",3,3,5,4,6,2,1,3
E01000091,E01000091,"3,669",2,2,2,3,4,2,1,4
E01000092,E01034475,"6,348",2,2,4,5,5,3,1,3
E01000093,E01000093,"2,669",1,2,2,3,2,1,1,1
E01000094,E01000094,"8,930",3,3,5,7,6,3,1,5
E01000095,E01000095,"6,984",3,3,5,4,6,2,1,5
E01000096,E01000096,"3,997",2,2,3,3,5,1,1,3
E01000097,E01000097,"4,866",2,2,3,3,2,3,1,3
E01000098,E01000098,"4,455",2,2,2,3,3,2,1,3
E01000099,E01000099,"8,373",3,3,4,4,4,6,1,4
E01000100,E01000100,"7,152",3,3,4,3,5,3,1,2
E01000101,E01000101,"4,126",2,2,2,3,3,2,1,2
E01000102,E01000102,"3,557",2,1,2,4,3,2,1,3
E01000103,E01000103,"6,708",3,3,4,4,4,3,1,5
E01000104,E01000104,"6,002",2,2,3,3,4,5,1,6
E01000105,E01000105,"3,229",1,2,2,2,2,1,1,4
E01000106,E01000106,"3,355",2,1,2,3,3,2,1,4
E01000107,E01000107,"8,865",3,4,5,3,3,6,1,5
E01000108,E01000108,"8,940",3,3,4,5,5,5,1,2
E01000109,E01034470,"10,373",4,5,5,4,6,2,1,3
E01000110,E01000110,"16,365",5,5,6,6,5,7,2,5
E01000111,E01000111,"8,544",3,3,4,5,5,4,1,4
E01000112,E01000112,"10,925",4,4,7,5,7,3,1,2
E01000113,E01000113,"10,601",4,4,5,5,6,2,1,4
E01000114,E01000114,"11,855",4,5,6,5,6,4,1,2
E01000115,E01000115,"29,174",9,8,8,9,10,8,7,5
E01000116,E01000116,"27,318",9,7,8,9,10,7,6,6
E01000117,E01000117,"24,958",8,7,7,8,10,6,5,6
E01000118,E01000118,"24,743",8,7,7,8,10,7,5,6
E01000119,E01000119,"22,657",7,7,8,9,10,3,4,5
E01000120,E01000120,"29,572",10,8,9,9,10,8,6,6
E01000121,E01000121,"5,463",2,2,2,4,4,4,1,7
E01000122,E01000122,"24,308",8,7,8,10,10,8,2,5
E01000123,E01000123,"23,278",8,7,8,8,9,8,2,6
E01000124,E01000124,"11,634",4,3,3,6,8,3,2,5
E01000125,E01033914,"9,759",3,3,5,4,8,3,1,5
E01000126,E01000126,"6,407",2,2,2,6,6,6,1,4
E01000127,E01000127,"9,275",3,3,3,4,8,4,1,5
E01000128,E01000128,"9,555",3,3,4,4,7,2,2,4
E01000129,E01000129,"7,554",3,2,4,4,6,2,1,4
E01000130,E01000130,"7,621",3,3,4,5,7,2,1,2
E01000131,E01000131,"13,623",5,5,6,7,9,1,1,5
E01000132,E01000132,"10,459",4,3,4,4,7,4,2,4
E01000133,E01000133,"7,660",3,3,2,4,6,5,1,4
E01000134,E01000134,"10,969",4,3,5,5,8,6,1,4
E01000135,E01000135,"21,585",7,7,8,9,9,4,4,3
E01000136,E01000136,"25,840",8,9,10,10,10,5,3,2
E01000137,E01000137,"8,611",3,2,3,8,5,4,2,5
E01000138,E01000138,"9,114",3,3,3,8,8,1,2,3
E01000139,E01000139,"21,727",7,6,9,9,10,3,4,3
E01000140,E01000140,"17,164",6,5,6,7,9,6,3,3
E01000141,E01000141,"8,601",3,4,5,7,9,1,2,1
E01000142,E01000142,"17,305",6,4,6,8,8,7,2,3
E01000143,E01000143,"7,380",3,2,2,5,6,2,2,5
E01000144,E01000144,"15,833",5,5,5,8,9,2,2,3
E01000145,E01000145,"19,310",6,6,6,9,10,5,3,3
E01000146,E01000146,"15,647",5,5,5,9,10,3,2,3
E01000147,E01000147,"21,282",7,7,9,7,10,4,3,3
E01000148,E01033923,"9,213",3,3,4,6,6,6,1,3
E01000150,E01000150,"18,371",6,5,7,7,10,6,2,3
E01000151,E01000151,"4,606",2,1,2,5,6,5,1,5
E01000152,E01000152,"6,908",3,2,3,4,8,5,1,6
E01000153,E01000153,"3,826",2,1,2,2,6,2,1,6
E01000154,E01000154,"6,805",3,3,3,4,5,2,1,5
E01000155,E01033916,"13,700",5,4,7,7,10,6,1,1
E01000156,E01000156,"26,669",9,7,9,10,9,6,5,5
E01000157,E01000157,"21,431",7,6,8,7,9,7,4,3
E01000158,E01000158,"14,606",5,4,5,7,8,3,3,3
E01000159,E01000159,"17,696",6,5,6,9,10,3,2,6
E01000160,E01000160,"22,025",7,7,8,8,9,3,3,4
E01000161,E01000161,"19,434",6,5,8,9,8,3,3,5
E01000162,E01000162,"15,689",5,5,4,7,8,3,4,4
E01000163,E01000163,"8,744",3,3,3,6,5,4,1,5
E01000164,E01000164,"10,557",4,3,4,7,8,2,2,3
E01000165,E01000165,"20,782",7,6,8,9,10,5,2,6
E01000166,E01000166,"19,054",6,5,5,8,9,4,3,7
E01000167,E01000167,"8,854",3,3,3,4,5,3,2,6
E01000168,E01000168,"28,357",9,8,9,9,10,6,5,5
E01000169,E01000169,"20,813",7,6,7,9,10,3,4,4
E01000170,E01000170,"14,031",5,4,4,7,8,3,5,4
E01000171,E01000171,"11,210",4,3,4,6,6,4,3,3
E01000172,E01000172,"26,533",9,7,9,10,10,9,4,4
E01000173,E01000173,"24,872",8,6,8,9,10,6,6,4
E01000174,E01000174,"17,685",6,4,6,8,8,7,3,3
E01000175,E01000175,"27,536",9,8,8,10,10,5,5,6
E01000176,E01000176,"7,768",3,2,3,5,7,4,1,6
E01000177,E01000177,"26,742",9,8,10,9,10,5,5,3
E01000178,E01000178,"27,008",9,8,8,10,10,6,5,4
E01000179,E01000179,"26,462",9,7,9,10,8,6,4,5
E01000180,E01000180,"19,391",6,4,6,9,9,7,3,5
E01000181,E01000181,"26,821",9,8,9,10,10,5,5,3
E01000182,E01000182,"27,057",9,9,10,10,10,6,5,2
E01000183,E01000183,"23,760",8,6,8,10,8,8,3,5
E01000184,E01000184,"7,110",3,2,3,5,6,4,1,2
E01000185,E01000185,"10,299",4,2,3,6,6,7,2,5
E01000186,E01000186,"30,326",10,9,9,9,10,8,6,5
E01000187,E01000187,"21,042",7,5,7,8,8,8,3,6
E01000188,E01000188,"27,036",9,10,9,10,10,3,5,4
E01000189,E01000189,"11,051",4,4,5,4,9,8,1,1
E01000190,E01000190,"24,311",8,6,7,9,10,7,4,6
E01000191,E01000191,"28,527",9,8,8,10,10,8,5,5
E01000192,E01000192,"18,475",6,5,7,8,9,3,3,4
E01000193,E01000193,"17,828",6,6,6,8,10,3,3,3
E01000194,E01000194,"14,920",5,5,6,9,9,2,2,3
E01000195,E01000195,"9,593",3,3,4,4,8,5,1,5
E01000196,E01000196,"21,850",7,6,6,9,10,8,3,5
E01000197,E01000197,"21,591",7,6,7,10,10,5,3,2
E01000198,E01000198,"22,353",7,6,8,10,10,8,2,4
E01000199,E01000199,"28,042",9,8,9,10,10,6,3,6
E01000200,E01000200,"25,046",8,6,8,10,10,6,4,5
E01000201,E01000201,"28,084",9,9,10,10,10,6,6,3
E01000202,E01000202,"28,623",9,8,10,10,10,8,4,4
E01000203,E01000203,"18,422",6,5,6,9,10,8,1,4
E01000204,E01000204,"24,436",8,7,8,10,10,4,5,4
E01000205,E01000205,"27,397",9,8,9,10,10,5,5,4
E01000206,E01000206,"25,629",8,10,10,10,10,5,1,4
E01000207,E01000207,"28,804",9,9,9,10,10,8,5,4
E01000208,E01000208,"28,766",9,10,10,10,10,5,3,5
E01000209,E01000209,"28,249",9,9,9,10,10,6,4,5
E01000210,E01000210,"26,833",9,8,10,10,10,4,6,4
E01000211,E01000211,"19,377",6,5,6,9,9,7,3,4
E01000212,E01000212,"24,145",8,8,6,10,10,7,4,4
E01000213,E01000213,"27,586",9,10,10,10,10,8,2,3
E01000214,E01000214,"23,881",8,9,9,10,10,4,2,4
E01000215,E01000215,"20,414",7,5,7,8,8,8,2,5
E01000216,E01000216,"24,507",8,7,7,10,10,7,4,5
E01000217,E01000217,"23,520",8,7,7,7,10,7,4,3
E01000218,E01000218,"18,612",6,5,6,7,9,5,3,4
E01000219,E01000219,"14,460",5,6,5,6,9,4,2,3
E01000220,E01000220,"16,891",6,5,5,8,8,7,3,3
E01000221,E01000221,"2,878",1,1,2,4,4,1,1,3
E01000222,E01000222,"9,539",3,3,3,6,7,2,1,3
E01000223,E01000223,"5,606",2,2,3,4,5,2,1,3
E01000224,E01000224,"14,638",5,4,4,6,9,6,3,4
E01000225,E01000225,"23,364",8,7,8,8,9,6,3,5
E01000226,E01000226,"7,222",3,2,3,4,4,6,1,3
E01000227,E01000227,"24,577",8,6,8,9,10,8,3,6
E01000228,E01000228,"21,621",7,6,8,9,10,3,3,6
E01000229,E01000229,"13,079",4,4,4,7,9,5,1,6
E01000230,E01000230,"27,204",9,7,9,8,10,7,5,7
E01000231,E01000231,"16,447",6,5,7,9,10,5,1,5
E01000232,E01000232,"19,413",6,5,6,9,9,5,3,5
E01000233,E01000233,"25,991",8,7,8,9,10,6,5,5
E01000234,E01000234,"26,226",8,7,8,9,10,7,4,6
E01000235,E01000235,"11,811",4,3,4,5,8,3,2,3
E01000236,E01000236,"23,808",8,6,7,9,10,8,4,4
E01000237,E01000237,"25,066",8,8,9,10,10,4,3,3
E01000238,E01000238,"19,485",6,6,6,9,10,6,3,3
E01000239,E01000239,"13,120",4,4,6,8,9,6,1,4
E01000240,E01000240,"14,717",5,5,7,9,10,5,1,3
E01000241,E01000241,"23,646",8,7,9,10,10,6,2,4
E01000242,E01000242,"15,111",5,4,5,9,9,4,1,5
E01000243,E01000243,"19,861",7,6,8,9,9,5,3,2
E01000244,E01000244,"18,293",6,7,7,8,9,4,3,1
E01000245,E01000245,"11,312",4,3,3,7,7,3,2,3
E01000246,E01000246,"23,751",8,9,9,10,10,3,2,5
E01000247,E01000247,"24,330",8,7,7,10,10,8,3,7
E01000248,E01000248,"27,938",9,9,9,10,10,3,6,5
E01000249,E01000249,"29,613",10,10,9,10,10,5,5,6
E01000250,E01000250,"21,023",7,5,6,9,10,5,4,5
E01000251,E01000251,"15,365",5,4,4,8,8,5,4,5
E01000252,E01000252,"20,654",7,5,6,10,9,5,2,7
E01000253,E01000253,"25,200",8,9,10,9,9,5,2,7
E01000254,E01000254,"27,346",9,9,10,10,10,6,3,3
E01000255,E01000255,"15,471",5,4,5,8,9,5,3,4
E01000256,E01000256,"23,742",8,7,9,9,10,6,2,6
E01000257,E01000257,"10,770",4,3,3,5,7,4,1,5
E01000258,E01000258,"25,595",8,8,9,9,10,4,5,4
E01000259,E01000259,"20,665",7,6,7,9,10,4,3,5
E01000260,E01000260,"14,473",5,5,6,7,9,5,1,4
E01000261,E01000261,"27,512",9,9,10,10,10,9,2,5
E01000262,E01033912,"22,595",7,6,8,8,10,7,2,6
E01000263,E01000263,"29,609",10,10,10,10,10,7,3,5
E01000264,E01000264,"17,488",6,5,6,9,10,5,2,3
E01000265,E01000265,"18,822",6,4,5,8,9,7,3,5
E01000266,E01000266,"27,042",9,9,10,10,10,3,5,5
E01000267,E01000267,"21,327",7,6,7,10,9,8,2,3
E01000268,E01000268,"18,670",6,4,6,7,9,6,4,5
E01000269,E01000269,"23,965",8,7,8,9,10,5,3,5
E01000270,E01000270,"22,199",7,6,6,10,10,5,3,5
E01000271,E01000271,"28,725",9,9,10,10,10,8,3,6
E01000272,E01000272,"30,661",10,10,10,10,10,6,5,7
E01000273,E01000273,"19,790",7,5,5,9,9,6,4,5
E01000274,E01000274,"18,373",6,4,5,8,9,6,4,5
E01000275,E01000275,"20,490",7,5,7,10,9,9,2,7
E01000276,E01000276,"31,443",10,10,10,10,10,10,4,7
E01000277,E01000277,"15,935",5,4,4,9,9,9,2,5
E01000278,E01000278,"29,998",10,10,10,10,10,10,3,5
E01000279,E01000279,"25,843",8,10,10,10,10,3,1,7
E01000280,E01000280,"31,544",10,10,10,10,10,8,5,6
E01000281,E01000281,"23,416",8,6,7,8,9,6,4,6
E01000282,E01000282,"26,321",9,8,9,10,10,5,4,5
E01000283,E01000283,"30,858",10,10,10,10,10,9,3,7
E01000284,E01000284,"18,467",6,4,5,9,8,6,3,6
E01000285,E01000285,"18,783",6,5,5,8,8,5,3,6
E01000286,E01000286,"11,433",4,3,3,7,7,3,2,4
E01000287,E01000287,"12,242",4,3,4,4,7,4,3,5
E01000288,E01000288,"21,005",7,6,7,8,10,5,3,5
E01000289,E01000289,"4,786",2,2,2,3,7,3,1,6
E01000290,E01000290,"14,405",5,5,4,7,8,3,1,7
E01000291,E01000291,"6,697",3,2,2,4,7,2,1,7
E01000292,E01000292,"22,974",7,7,6,9,10,5,5,6
E01000293,E01000293,"27,550",9,8,9,10,10,5,6,5
E01000294,E01000294,"21,893",7,6,5,10,7,9,4,7
E01000295,E01000295,"20,731",7,8,7,10,10,3,4,2
E01000296,E01000296,"22,036",7,6,8,9,10,4,3,4
E01000297,E01000297,"25,783",8,7,9,8,10,7,4,5
E01000298,E01000298,"22,372",7,6,8,10,10,4,3,4
E01000299,E01000299,"16,989",6,5,7,10,8,4,3,2
E01000300,E01000300,"21,880",7,6,7,10,8,6,3,5
E01000301,E01000301,"28,246",9,9,8,10,10,7,5,5
E01000302,E01000302,"18,360",6,4,5,8,8,7,3,6
E01000303,E01000303,"28,555",9,8,10,10,10,8,2,7
E01000304,E01000304,"20,455",7,6,7,9,8,8,2,4
E01000305,E01000305,"9,115",3,3,4,6,8,3,1,2
E01000306,E01000306,"19,906",7,7,9,6,9,5,2,3
E01000307,E01000307,"11,835",4,4,5,5,9,2,2,3
E01000308,E01000308,"7,151",3,2,4,4,8,1,1,3
E01000309,E01000309,"20,046",7,6,7,9,10,6,2,4
E01000310,E01000310,"15,067",5,5,7,6,9,4,1,4
E01000311,E01000311,"23,246",8,9,8,10,10,3,3,3
E01000312,E01000312,"10,806",4,4,5,7,7,7,1,5
E01000313,E01000313,"14,409",5,5,6,7,8,5,1,3
E01000314,E01000314,"23,679",8,8,9,10,10,3,3,4
E01000315,E01000315,"6,785",3,2,2,4,7,2,2,5
E01000316,E01000316,"14,454",5,4,6,9,9,2,2,3
E01000317,E01000317,"23,497",8,6,8,10,10,7,4,5
E01000318,E01000318,"19,218",6,5,7,9,10,3,4,4
E01000319,E01000319,"24,628",8,7,8,10,10,5,4,4
E01000320,E01000320,"26,150",8,7,9,10,10,7,3,5
E01000321,E01000321,"19,535",6,5,6,9,9,6,4,3
E01000322,E01000322,"19,048",6,5,6,10,10,7,3,3
E01000323,E01000323,"15,389",5,5,6,9,8,3,3,2
E01000324,E01000324,"20,202",7,6,6,9,8,5,4,5
E01000325,E01000325,"29,599",10,9,9,7,10,7,6,7
E01000326,E01000326,"22,206",7,8,9,5,10,6,2,4
E01000327,E01000327,"27,457",9,9,9,7,9,7,6,6
E01000328,E01000328,"22,853",7,8,8,5,8,2,5,7
E01000329,E01000329,"18,060",6,6,6,5,9,4,4,5
E01000330,E01000330,"16,254",5,5,5,6,6,7,4,3
E01000331,E01000331,"8,888",3,4,3,3,5,4,2,5
E01000332,E01000332,"17,857",6,5,6,5,9,4,5,4
E01000333,E01000333,"10,270",4,3,3,3,5,5,4,4
E01000334,E01000334,"21,066",7,6,7,5,9,7,3,7
E01000335,E01000335,"7,186",3,3,5,2,7,2,1,3
E01000336,E01000336,"7,373",3,2,3,4,6,4,1,4
E01000337,E01000337,"14,747",5,3,5,6,8,5,3,4
E01000338,E01000338,"15,333",5,5,6,5,7,4,3,3
E01000339,E01000339,"17,653",6,5,4,4,7,6,7,7
E01000340,E01000340,"21,230",7,7,9,5,8,8,3,4
E01000341,E01000341,"25,941",8,8,7,6,9,8,7,6
E01000342,E01000342,"25,891",8,10,9,5,9,6,5,4
E01000343,E01000343,"26,633",9,8,8,6,9,8,7,5
E01000344,E01000344,"29,332",9,10,9,6,8,8,7,7
E01000345,E01000345,"29,145",9,9,10,6,9,9,7,6
E01000346,E01000346,"24,927",8,8,8,6,9,6,8,4
E01000347,E01000347,"23,128",8,7,9,4,8,8,6,5
E01000348,E01000348,"30,525",10,10,10,6,10,8,7,6
E01000349,E01000349,"27,736",9,9,9,7,10,9,3,6
E01000350,E01000350,"27,197",9,9,9,5,9,8,6,5
E01000351,E01000351,"27,580",9,9,9,5,10,8,5,7
E01000352,E01000352,"19,159",6,5,7,4,8,6,4,4
E01000353,E01000353,"30,316",10,9,10,7,10,7,9,6
E01000354,E01000354,"13,302",5,4,3,4,6,8,4,5
E01000355,E01000355,"26,842",9,9,8,5,9,7,6,6
E01000356,E01000356,"27,128",9,8,7,6,9,8,9,7
E01000357,E01000357,"31,429",10,10,10,7,10,8,9,6
E01000358,E01000358,"29,282",9,9,9,7,9,9,7,6
E01000359,E01000359,"29,254",9,9,9,7,10,9,6,6
E01000360,E01000360,"15,534",5,5,5,8,5,4,4,3
E01000361,E01000361,"23,027",8,7,7,6,9,7,5,5
E01000362,E01000362,"21,457",7,7,7,6,9,3,5,5
E01000363,E01000363,"25,379",8,8,8,7,9,8,5,5
E01000364,E01000364,"21,389",7,7,8,6,8,8,3,4
E01000365,E01000365,"19,555",6,6,7,7,7,3,5,4
E01000366,E01000366,"24,683",8,6,8,8,9,7,7,6
E01000367,E01000367,"7,599",3,2,2,2,6,4,2,6
E01000368,E01000368,"6,298",2,2,2,2,5,6,1,6
E01000369,E01000369,"19,297",6,6,5,4,8,7,7,5
E01000370,E01000370,"22,899",7,7,6,6,8,9,5,6
E01000371,E01000371,"26,858",9,8,9,6,9,8,4,6
E01000372,E01000372,"8,063",3,3,2,3,4,6,3,5
E01000373,E01000373,"8,331",3,4,4,2,5,3,1,6
E01000374,E01000374,"3,624",2,2,1,2,3,5,1,3
E01000375,E01000375,"15,879",5,5,5,4,7,5,5,4
E01000376,E01000376,"17,727",6,6,7,5,7,2,5,4
E01000377,E01000377,"21,848",7,7,6,5,9,5,4,6
E01000378,E01033791,"13,369",5,5,5,4,6,5,3,3
E01000379,E01000379,"15,579",5,5,6,4,8,4,4,3
E01000380,E01000380,"11,840",4,4,5,3,7,9,1,7
E01000381,E01000381,"9,141",3,4,3,3,6,6,1,5
E01000382,E01000382,"28,932",9,10,9,8,10,8,3,8
E01000383,E01000383,"13,501",5,5,5,5,7,2,2,6
E01000384,E01000384,"22,083",7,6,8,7,9,7,5,4
E01000385,E01000385,"6,958",3,2,3,3,3,5,2,5
E01000386,E01000386,"3,835",2,2,2,2,2,4,1,5
E01000387,E01000387,"21,777",7,7,6,7,9,6,2,7
E01000388,E01000388,"23,585",8,7,7,6,9,4,7,5
E01000389,E01000389,"23,070",8,6,7,7,10,5,4,7
E01000390,E01000390,"24,292",8,8,9,6,7,6,5,5
E01000391,E01000391,"20,043",7,6,6,4,9,7,5,4
E01000392,E01000392,"12,119",4,4,5,4,6,7,2,3
E01000393,E01000393,"25,584",8,9,9,7,9,5,6,3
E01000394,E01000394,"25,359",8,7,8,8,8,8,5,6
E01000395,E01000395,"30,471",10,10,10,7,9,9,7,6
E01000396,E01000396,"26,986",9,9,9,6,8,10,5,4
E01000398,E01000398,"14,343",5,5,4,3,7,9,3,5
E01000399,E01000399,"25,650",8,9,9,5,10,8,5,5
E01000400,E01000400,"19,222",6,6,5,5,8,7,6,4
E01000401,E01000401,"13,478",5,4,5,4,5,7,4,4
E01000402,E01000402,"11,661",4,3,4,4,7,4,2,5
E01000403,E01000403,"8,247",3,3,3,4,6,1,2,6
E01000404,E01000404,"7,988",3,2,3,4,5,3,1,6
E01000405,E01000405,"8,556",3,3,4,4,5,4,1,3
E01000406,E01000406,"11,865",4,4,5,5,6,3,2,4
E01000407,E01000407,"19,290",6,6,6,5,8,7,5,4
E01000408,E01000408,"11,511",4,3,4,4,6,4,5,3
E01000409,E01000409,"29,535",9,9,9,5,10,10,7,7
E01000410,E01000410,"27,698",9,10,10,6,9,6,6,5
E01000411,E01000411,"24,984",8,8,8,5,9,7,6,4
E01000412,E01000412,"26,294",9,9,9,6,9,8,3,5
E01000413,E01000413,"23,374",8,8,8,4,9,6,5,5
E01000414,E01000414,"20,333",7,6,8,6,9,3,5,3
E01000415,E01000415,"29,162",9,9,9,6,10,7,8,6
E01000416,E01000416,"10,611",4,3,4,5,7,1,2,6
E01000417,E01000417,"14,752",5,5,5,5,7,4,2,5
E01000418,E01000418,"15,526",5,4,7,5,8,5,1,5
E01000419,E01000419,"26,164",8,9,9,7,9,7,5,5
E01000420,E01000420,"23,155",8,7,7,4,9,8,6,6
E01000421,E01000421,"28,043",9,9,8,7,8,8,5,7
E01000422,E01000422,"5,556",2,1,2,4,5,3,1,7
E01000423,E01000423,"29,890",10,9,9,7,10,9,7,5
E01000424,E01000424,"28,573",9,9,10,9,10,6,6,3
E01000425,E01000425,"28,921",9,9,9,8,8,10,4,7
E01000426,E01000426,"24,090",8,7,9,7,9,9,5,3
E01000427,E01000427,"21,182",7,6,6,6,9,8,3,6
E01000428,E01000428,"11,429",4,4,5,5,4,5,2,6
E01000429,E01000429,"3,591",2,2,2,3,3,2,1,6
E01000430,E01000430,"17,477",6,4,5,6,8,7,2,8
E01000431,E01000431,"5,493",2,2,2,3,4,3,1,5
E01000432,E01033790,"11,135",4,3,4,3,6,4,3,6
E01000433,E01000433,"5,702",2,2,2,3,3,3,2,5
E01000434,E01000434,"4,809",2,2,2,1,3,6,2,6
E01000435,E01000435,"7,461",3,2,3,3,6,3,1,5
E01000436,E01000436,"30,492",10,9,9,6,10,10,8,6
E01000437,E01000437,"20,296",7,6,7,5,7,6,5,6
E01000438,E01000438,"19,919",7,6,7,4,8,5,5,4
E01000439,E01000439,"11,510",4,3,4,3,7,3,6,3
E01000440,E01000440,"27,367",9,9,8,5,10,7,7,6
E01000441,E01000441,"8,484",3,2,3,3,4,4,4,6
E01000442,E01000442,"20,054",7,6,6,4,9,8,5,6
E01000443,E01000443,"15,949",5,5,4,5,6,7,3,4
E01000444,E01000444,"28,530",9,10,9,9,10,6,3,6
E01000445,E01000445,"29,687",10,10,10,7,10,8,5,7
E01000446,E01000446,"29,153",9,9,9,6,8,8,7,6
E01000447,E01000447,"24,076",8,7,8,8,8,4,6,4
E01000448,E01000448,"32,132",10,10,10,9,9,9,8,7
E01000449,E01000449,"30,072",10,10,10,9,9,5,7,7
E01000450,E01000450,"16,089",5,5,4,5,7,6,4,6
E01000451,E01000451,"27,695",9,9,9,5,9,9,6,5
E01000452,E01000452,"27,715",9,8,9,6,9,9,7,5
E01000453,E01000453,"27,021",9,8,9,5,10,8,8,5
E01000454,E01000454,"15,605",5,5,5,4,7,4,5,5
