lsoa code (2011),lsoa code (2021),IMD rank,IMD dec,income,employment,EST,health and disability,crime,barriers to housing and services,living environment
E01008550,E01008550,"31,517",10,10,9,10,6,9,10,9
E01008551,E01008551,"29,450",9,10,9,9,6,7,6,10
E01008552,E01008552,"22,676",7,6,6,8,5,5,10,10
E01008553,E01008553,"26,021",8,6,7,9,7,7,10,7
E01008554,E01008554,"11,708",4,3,2,5,3,5,9,10
E01008555,E01008555,"11,644",4,3,3,4,3,7,8,10
E01008556,E01008556,"29,306",9,8,8,8,7,10,7,10
E01008557,E01008557,"30,571",10,10,9,9,8,8,4,10
E01008558,E01008558,"23,292",8,7,7,10,7,2,10,7
E01008559,E01008559,"19,315",6,5,6,10,3,8,10,4
E01008560,E01008560,"24,104",8,8,6,10,6,4,10,6
E01008561,E01008561,"6,912",3,2,2,4,2,3,6,9
E01008562,E01008562,"27,330",9,7,8,9,6,7,7,10
E01008563,E01008563,"32,782",10,10,10,10,9,9,9,10
E01008564,E01008564,"29,791",10,9,9,9,7,8,7,8
E01008565,E01035626,"14,346",5,5,5,5,5,3,2,10
E01008567,E01008567,"7,049",3,3,2,2,2,2,8,9
E01008568,E01008568,"8,955",3,3,2,2,3,4,7,10
E01008569,E01008569,"6,893",3,2,2,2,2,3,6,10
E01008570,E01008570,"21,743",7,6,7,5,4,10,5,8
E01008571,E01008571,"4,717",2,2,2,3,1,2,4,9
E01008572,E01008572,"2,715",1,1,1,2,1,1,8,5
E01008573,E01008573,"2,064",1,1,1,1,1,1,9,7
E01008574,E01008574,"18,512",6,5,5,8,5,2,8,10
E01008575,E01008575,"2,281",1,1,1,2,1,1,9,9
E01008576,E01008576,"6,765",3,2,2,3,2,4,3,9
E01008577,E01008577,"16,890",6,5,4,5,4,5,10,10
E01008578,E01008578,"12,345",4,4,3,4,3,4,7,10
E01008579,E01008579,"31,031",10,10,9,7,7,9,10,10
E01008580,E01008580,"28,197",9,9,8,7,7,8,6,10
E01008581,E01008581,"26,979",9,8,6,8,6,10,8,10
E01008582,E01008582,"13,897",5,4,4,3,4,5,6,10
E01008583,E01008583,"10,674",4,3,3,2,3,8,6,10
E01008584,E01008584,"3,961",2,3,1,6,1,1,8,3
E01008585,E01008585,"22,455",7,7,7,9,5,3,9,7
E01008586,E01008586,"24,678",8,7,6,9,6,5,9,8
E01008587,E01008587,"16,309",5,5,4,9,3,4,10,5
E01008588,E01008588,"13,924",5,5,4,8,3,2,10,7
E01008589,E01008589,"31,013",10,10,10,10,8,3,9,9
E01008590,E01008590,"2,677",1,1,1,3,1,1,8,9
E01008591,E01008591,"2,513",1,1,1,3,1,1,9,8
E01008592,E01008592,"7,196",3,2,2,3,2,4,10,6
E01008593,E01008593,971,1,1,1,1,1,4,5,10
E01008594,E01008594,"6,933",3,3,3,3,2,2,5,10
E01008595,E01008595,"7,819",3,3,2,4,2,2,9,7
E01008596,E01008596,"1,281",1,1,1,2,1,1,5,10
E01008597,E01008597,"11,268",4,4,2,8,2,3,9,7
E01008598,E01008598,"7,615",3,3,2,6,2,1,9,4
E01008599,E01008599,"3,542",2,1,1,3,1,3,4,10
E01008600,E01008600,"1,089",1,1,1,1,1,2,6,9
E01008601,E01008601,"3,642",2,1,1,2,2,4,3,10
E01008602,E01008602,"3,483",2,1,1,2,1,3,7,9
E01008603,E01008603,"2,212",1,1,1,3,1,2,7,10
E01008604,E01008604,"2,052",1,1,1,2,1,4,7,10
E01008605,E01008605,"9,344",3,3,3,4,3,3,6,10
E01008606,E01008606,"2,774",1,1,1,2,1,2,5,10
E01008607,E01008607,"1,603",1,1,1,1,1,3,5,10
E01008608,E01008608,"2,487",1,1,1,1,1,5,5,10
E01008609,E01008609,"3,242",1,1,1,2,1,4,7,10
E01008610,E01008610,"1,836",1,1,1,1,1,3,5,10
E01008611,E01008611,"29,023",9,9,9,9,6,6,8,10
E01008612,E01008612,"23,066",8,7,6,8,5,5,8,10
E01008613,E01008613,"3,895",2,1,1,2,1,3,8,10
E01008614,E01008614,"13,080",4,3,3,4,4,6,5,10
